0,1,2,3,4
Picazo,Guadalajara,Milmarcos y Fuente Elsaz,Energías Especiales Montes Castellanos. S.L.,14.00
San Gil,Guadalajara,Tartanedo. Torrubia y Fuentelsaz,GAS NATURAL FENOSA RENOVABLES,36.00
Villamayor,Cuenca,Puebla de Almenara. Villamayor de Santiago y Hontanaya,ACCIONA ENERGÍA,34.00
El Escepar Ampliación,Cuenca,Villalba del Rey,ACCIONA ENERGÍA,6.00
TOMAS JAEN 1,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 10,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 11,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 12,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 2,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 3,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 4,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 5,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 6,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 7,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 8,Albacete,La Gineta,Sociedad promotora:,0.01
TOMAS JAEN 9,Albacete,La Gineta,Sociedad promotora:,0.01
El Chaparro,Guadalajara,Villaverde del Ducado,ACCIONA ENERGÍA,16.00
Majogazas II,Albacete,Peñascosa y Masegoso,Explotaciones Eólicas Sierra de Alcaraz. S.L.,21.00
Barchín,Cuenca,Barchin del Hoyo,ELECDEY BARCHÍN S.A.,28.00
Castillo Garcimuñoz,Cuenca,Pinarejo y Castillo de Garcimuñoz,Eólica Garcimuñoz. S.L.,25.50
Cerro San Antón,Toledo,Lillo,Eólica de Lillo. S.L.,6.75
Aerogenerador R 225 kW Leuza,Albacete,Lezuza,ALBACETE IFAVG INGENIERIA Y CONSTRUCCIÓN. S.L.,0.23
Gascueña Este,Cuenca,Gascueña. Olmeda de la Cuesta,Eólica Las Contiendas. S.L.U,3.00
Villanueva de Jara I,Cuenca,Villanueva de la Jara,ENERGÍAS EÓLICA CEFIRO. S.L.,4.37
Villanueva de Jara II,Cuenca,Villanueva de la Jara,ENERGÍAS EÓLICA NOTO. S.L.,3.00
Villanueva de Jara III,Cuenca,Villanueva de la Jara,Energías Eolicas Terral. SL.,3.00
Cerro Calderón,Albacete,Pozohondo,ENERGÍAS EÓLICAS GIOLIA. S.L.,4.00
Eras de Bonete,Albacete,Bonete,ENERGÍAS EÓLICAS SANTA ANA. S.L,5.00
Iniesta,Cuenca,Iniesta,FUENTES EÓLICAS DOS. S.L.,5.00
Motilla,Cuenca,Motilla del Palancar,Energía Eólica Alto del Llano. S.L.,51.00
Barrax Norte-Sur,Albacete,Barrax,ENERGÍA EÓLICA NÓMADA. S.L.,39.90
CERRO SIDRICO,Cuenca,INIESTA,PLANTA ENERSOS III. S.L.,1.50
Chinchilla de Montearagón,Albacete,Chinchilla de Montearagón,ENERGÍA EÓLICA CIERZO. S.L.,27.30
A Capelada I,La Coruña,Cariño. Cedeira y Ortigueira,P. EÓLICO A CAPELADA A.I.E.,16.50
Barbanza I,La Coruña,Porto do Son y Pobra do Caramiñal,P.E. BARBANZA. S.A.,19.80
Paxareiras I (Paxareiras-Montevós),La Coruña,Mazaricos y Muros,EOS PAX. II,20.40
Paxareiras II AI (Paxareiras-Montevós),La Coruña,Muros y Carnota,EOS PAX. II,19.20
Coriscada,La Coruña,Mañón y Ortigueira,SISTEMAS ENERG. MAÑON-ORTIGUEIRA,24.00
Muras I,Lugo,Muras y Ourol,IBERDROLA RENOVABLES,24.42
San Xoan,La Coruña,As Pontes (La Coruña) y Muras (Lugo),ACCIONA ENERGÍA,15.84
Vicedo,Lugo,O Vicedo,Parque Eolico de Vicedo. S.L.,24.60
A Capelada II,La Coruña,Cariño. Cedeira y Ortigueira,P. EÓLICO A CAPELADA A.I.E.,14.85
A Ruña,La Coruña,Muros y Mazaricos,ACCIONA ENERGÍA,24.60
Barbanza II Fase 1,La Coruña,Porto do Son y Pobra do Caramiñal,P.E. BARBANZA. S.A.,6.60
Barbanza II Fase 2,La Coruña,Porto do Son y Pobra do Caramiñal,P.E. BARBANZA. S.A.,2.64
Bustelo,Lugo,Muras,ACCIONA ENERGÍA,25.08
Cuadramón,Lugo,Alfoz y Abadin,ACCIONA ENERGÍA,18.75
Leste,Lugo,Ourol y O Valadouro,ACCIONA ENERGÍA,14.25
Monte Seixo,Pontevedra,A Lama. Forcarei y Cerdedo-Cotobade,OLIVENTO. S.L.,24.42
Nordés,Lugo,Muras y O Valadouro,ACCIONA ENERGÍA,20.25
Os Corvos,La Coruña,Cedeira y Ortigueira,P.E. SAN ANDRES S.A.,10.20
Pedra Chantada,Lugo,Muras. Ourol y O Valadouro,ACCIONA ENERGÍA,21.78
Pena Luisa,Lugo,Muras y Ourol,ACCIONA ENERGÍA,21.78
Serra do Cando,Pontevedra,A Lama. Cotobade y Forcarei,OLIVENTO. S.L.,24.42
Virxe do Monte,La Coruña,Mazaricos. Muros y Carnota,ACCIONA ENERGÍA,19.20
Careón,La Coruña,Melide y Toques,E.E. DE CAREÓN,18.00
Coucepenido,La Coruña,Cedeira y Ortigueira,P.E. COUCEPENIDO,22.80
Forgoselo,La Coruña,Capelo y San Sadurniño,SISTEMAS ENERG. FORGOSELO,24.42
Monte Seixo Ampliación,Pontevedra,A Lama. Forcarei y Cotobade,OLIVENTO. S.L.,10.56
Montouto,Lugo,Abadín,NORVENTO MONTOUTO. S.L.,20.46
Muras II,Lugo,Muras y Ourol,IBERDROLA RENOVABLES,24.42
Serra do Cando 1ª Ampliación,Pontevedra,A Lama. Cotobade y Forcarei,OLIVENTO. S.L.,4.81
Somozas,La Coruña,As Somozas,Energías Ambientales Somozas. S.A.,48.00
Vilalba,Lugo,Vilalba,ACCIONA ENERGÍA,25.08
Adraño (Paxareiras IIB),La Coruña,Carnota y Mazaricos,ACCIONA ENERGÍA,21.60
Ameixeiras -Testeiros,Ourense,Lalín (Pontevedra) y O Irixo (Ourense),IBERDROLA RENOVABLES,49.50
Carba,Lugo,Muras y Villalba,ACCIONA ENERGÍA,19.80
Castelo,La Coruña,Coristanco y Tordoia,ENERGÍAS ESPECIALES DE ALTO ULLA. S.A.,16.50
Caxado,La Coruña,As Pontes,ACCIONA ENERGÍA,24.42
Lomba,Lugo,Muras,ACCIONA ENERGÍA,22.50
Masgalán-Campo Do Coco,Pontevedra,Forcarei. Silleda y Lalín,IBERDROLA RENOVABLES,49.50
Monte Treito,La Coruña,Lousame. Rois. Dodro y Rianxo,IBERDROLA RENOVABLES,30.39
Novo,La Coruña,Valdoviño y Narón,Energías Ambientales de Novo S.A.,18.75
Pena da Loba,La Coruña,As Pontes y Mañón,ACCIONA ENERGÍA,24.42
Refachón,Lugo,Abadín,ACCIONA ENERGÍA,21.00
Serra da Panda,La Coruña,Mañón y Ortigueira,SISTEMAS ENERGÉTICOS SERRA DA PANDA,18.48
Soán,Lugo,Muras y Valadouro,ACCIONA ENERGÍA,19.50
Sotavento,La Coruña,Monfero (A Coruña) y Xermade (Lugo),SOTAVENTO GALICIA. S.A.,17.56
Ventoada,Lugo,Muras,ACCIONA ENERGÍA,22.50
Ameixenda - Filgueira,La Coruña,Dumbria y Cee,ACCIONA ENERGÍA,34.80
Coto Teixido,La Coruña,As Pontes. Mañón y Ortigueira,ENEL GREEN POWER ESPAÑA S.L.,23.10
Currás,La Coruña,Curras y Mazaricos,ACCIONA ENERGÍA,7.80
Faladoira I,La Coruña,Mañón y Ortigueira,ENEL GREEN POWER ESPAÑA S.L.,24.42
Monte Carrio,Pontevedra,Lalín y Vila de Cruces,SIST. ENERG. LALÍN,31.45
Monte Redondo,La Coruña,Vimianzo,Energías Ambientales Vimianzo. S.A.,49.50
Pena Armada,Lugo,Friol y Palas de Rei,E.E. PEÑA ARMADA,20.70
Pena da Cruz,Ourense,Chandrexa de Queixa y Castro Caldelas,IBERDROLA RENOVABLES,12.75
Peña Galluda,La Coruña,Laracha,ENGASA EÓLICA,0.66
Serra do Burgo,Ourense,Chandrexa de Queixa y Castro Caldelas,IBERDROLA RENOVABLES,16.15
Serra do Larouco,Ourense,Baltar. Xinzo de Limia y Cualedro,IBERDROLA RENOVABLES,41.65
Viveiro,Lugo,Xove y Viveiro,SISTE. ENERG. VIVEIRO,36.55
As Somozas II,La Coruña,As Somozas,ENERG.AMBIENT. DE SOMOZAS,1.67
Deva,Ourense,Avión. Carballeda de Avia. Melón (Ourense) y Covelo (Pontevedra),ACCIONA ENERGÍA,39.60
Do Vilán,La Coruña,Camariñas,ENEL GREEN POWER ESPAÑA S.L.,16.90
Mareiro,Lugo,Ourol,ACCIONA ENERGÍA,15.00
Pedregal Tremuzo I,La Coruña,Muros,SIST. ENERG. MOUROS-OUTES,30.60
Pedregal Tremuzo II,La Coruña,Muros,SIST. ENERG. MOUROS-OUTES,14.00
Pena Forcada,La Coruña,Camariñas y Laxe,E.E. DEL NOROESTE,33.80
Pena Grande,Lugo,Muras y Ourol,ACCIONA ENERGÍA,17.16
Sil,Ourense,Nogueira de Remuín. Xunqueira de Espadañedo. Parada de Sil. Esgos y Montederramo,IBERDROLA RENOVABLES,49.24
Silán,Lugo,Muras,ACCIONA ENERGÍA,13.20
Tea,Ourense,A Cañiza. Covelo (Pontevedra) y Melón (Ourense),ACCIONA ENERGÍA,48.10
Carballeira,La Coruña,As Pontes de García Rodríguez (La Coruña) y Xermade (Lugo),ACCIONA ENERGÍA,24.42
Corzán,La Coruña,Negreira,ENERGÍAS ESPECIALES DEL NOROESTE,36.00
Fonsagrada,Lugo,A Fonsagrada. Castroverde. Baleira. Ribeira de Piquín y Pol,ACCIONA ENERGÍA,45.54
La Celaya,Lugo,Abadín y Vilalba,DESARROLLOS EÓLICOS DE LUGO. S.A.,28.80
Labrada,Lugo,Abadín,ACCIONA ENERGÍA,18.75
Monseivane,Lugo,Abadín y Vilalba,DESARROLLOS EÓLICOS DE LUGO. S.A.,41.40
Montemayor Sur,Lugo,Abadín,ACCIONA ENERGÍA,12.75
Montouto 2000,Pontevedra,A Cañiza. Arbo y As Neves,Montouto 2000 (HGP),39.75
Outes,La Coruña,Mazaricos,Energías Ambientales de Outes. S.A.,33.60
Pena da Cruz Ampliación,Ourense,Chandrexa de Queixa. Castro Caldelas y Montederramo,IBERDROLA RENOVABLES,10.20
Polígono Sabón (Inditex),La Coruña,Arteixo,INDITEX,0.85
Punago,Lugo,A Fonsagrada. Castroverde. Baleira. Ribeira de Piquín y Pol,ACCIONA ENERGÍA,30.36
Requeixo,La Coruña,As Somozas,SOMERSA,10.50
Serra de Meira,Lugo,Meira y Ribeira de Piquín,SISTEMAS ENERGÉTICOS Viveiro,49.30
Soán Alabe-Ampliación,Lugo,Muras y Valadouro,ACCIONA ENERGÍA,21.75
Terral,Lugo,Abadín,ACCIONA ENERGÍA,27.00
Viravento,La Coruña,Camariñas,ENEL GREEN POWER ESPAÑA S.L.,1.20
Chantada,Lugo,Chantada (Lugo) y Rodeiro (Pontevedra),GALICIA VENTO. S.L.,48.00
Farelo,Lugo,Rodeiro y Agolada (Pontevedra) y Antas de Ulla (Lugo),GALICIA VENTO. S.L.,28.80
Fiouco,Lugo,Abadín,NORVENTO MONTOUTO. S.L.,24.00
Goia Peñote,Lugo,Muras. Xermade y Vilalba,IBERDROLA RENOVABLES,40.00
Leboreiro,Lugo,Muras,ENEL GREEN POWER ESPAÑA S.L.,21.12
Monte Cabezas,Pontevedra,Rodeiro,GALICIA VENTO. S.L.,36.80
Monte do Ceo,Pontevedra,A Lama,SALTOS DEL OITAVÉN. S.L.,2.55
Montemayor Norte,Lugo,Alfoz y Abadín,ACCIONA ENERGÍA,21.00
O Barrigoso,La Coruña,Vimianzo,CANEPA GREEN ENERGY,3.00
Padrón,La Coruña,Padrón,FERSA (Fomento de Energías Renovables),1.70
Penas Grandes,Lugo,Carballedo (Lugo) y Rodeiro (Pontevedra),GALICIA VENTO. S.L.,14.40
Serra da Loba,La Coruña,Aranga (La Coruña) y Guitiriz (Lugo),OLIVENTO. S.L.,36.00
Serra do Burgo Ampliación,Ourense,Chandreixa de Queixa,IBERDROLA RENOVABLES,11.90
Silvarredonda,La Coruña,Cabana de Bergantiños,GAS NATURAL FENOSA RENOVABLES,16.90
Buio,Lugo,Cervo. O Valadouro. Viveiro y Xove,ACCIONA ENERGÍA,40.30
Coruxeiras,Lugo,Muras,NORVENTO CURUXEIRAS. S.L.,49.60
Gamoide,Lugo,Cervo.O Valadouro y Foz,ACCIONA ENERGÍA,32.50
Monte da Barda,La Coruña,Ponteceso,CANEPA GREEN ENERGY,3.00
Pena Ventosa,Lugo,Viveiro. O Vicedo y Ourol,ENEL GREEN POWER ESPAÑA S.L.,44.80
Ponte Rebordelo,La Coruña,Dumbría y Vimianzo,DESARROLLOS EÓLICOS DUMBRÍA. S.A.U.,40.30
Rioboo,Lugo,Xove y Viveiro,ACCIONA ENERGÍA,20.80
Bidueiros Fase I,Ourense,Fornelos de Montes y Covelo (Pontevedra) y Avión (Ourense),Parques eólicos de Buio. S.L.,37.70
Casa,Lugo,Guitiriz y Villalba,GAS NATURAL FENOSA RENOVABLES,29.90
Chan do Tenón,Lugo,Viveiro y O Vicedo,ENEL GREEN POWER ESPAÑA S.L.,22.40
Corzán Ampliación,La Coruña,Negreira,ENERGÍAS ESPECIALES DEL NOROESTE,7.20
Coto de Codesas,La Coruña,Boimorto. Melida. Sobrado y Toques,GAS NATURAL FENOSA RENOVABLES,17.00
Couto de San Sebastian,Pontevedra,Silleda y A Estrada,Energías renovables Montes de San Sebastián. S.L.,18.00
Farrapa,Lugo,Abadín. Mondoñedo. Pastoriza,GAMESA ENERGÍA,20.00
Fonteavia I,Ourense,A Lama. Fomelos. Covelo (Pontevedra) y Avión (Ourense),ACCIONA ENERGÍA,20.80
Fonteavia II,Ourense,A Lama. Fomelos. Covelo (Pontevedra) y Avión (Ourense),ACCIONA ENERGÍA,28.60
Irixo,Ourense,Irixo. Piñor de Cea y Carballiño,Irixo Eólico. S.A. (Grupo San Miguel),19.80
Monte das Augas,La Coruña,As Somozas,Parque Eólico Monte das Augas. S.L.,3.00
Ourol,Lugo,Ourol,HIDROELÉCTRICA DE OUROL. S.L.,18.70
Serra da Loba Ampliación (Pena Revolta),La Coruña,Monfero y Aranga,GAMESA ENERGÍA,14.00
Sil Ampliación (1ª Fase),Ourense,Nogueira de Ramuín,IBERDROLA ENERGÍAS RENOVABLES DE GALICIA. S.A.U.,28.00
Touriñán (Serra do Moncoso),La Coruña,Monfero. Irixoa y Aranga,Serra do Moncoso,24.65
Valsagueiro,La Coruña,Dumbría,DESARROLLOS EÓLICOS DUMBRÍA. S.A.U.,32.50
Xiabre I,Pontevedra,Vilagarcía. Catoira y Caldas de Reis,ENGASA EÓLICA,19.80
Arbo,Pontevedra,Arbo,FERSA (Fomento de Energías Renovables),2.70
Campo das Cruces,Pontevedra,Forcarei,Arcos de Grava. S.L.,1.80
Graiade,La Coruña,Porto do Son,Eólica de Graiade,19.50
Mondoñedo,Lugo,Mondoñedo,FERGO GALICIA VENTO. S.L.,48.40
Nogueira,Ourense,Bande y Verea,IBERDEGA,2.55
O Chao,Lugo,Ourol y Muras,Hidroeléctrica del Arnoya. S.L.,8.00
Pousadoiro - Fonseca (Fase 1),Lugo,Pontenova. A Pastoriza y Riotorto,Sistemas Energéticos A pontenova-riotorto. S.A.U.,23.50
Serra do Páramo,Lugo,O Paramo y Parandela,VIRANDEL,20.00
Vieiro,Ourense,Bande y Verea,IBERDEGA,19.60
Xiabre Ampliación,Pontevedra,Vilagarcía. Catoira y Caldas de Reis,ENGASA EÓLICA,12.00
Xiabre II,Pontevedra,Vilagarcía. Catoira y Caldas de Reis,ENGASA EÓLICA,11.40
As Neves (Parque eólico Singular),Pontevedra,As Neves,FOMENTO DE LAS ENERGÍAS RENOVABLES 2001. S.A.,2.40
Coto de Codesas II,La Coruña,Sobrado y Boimorto,GAS NATURAL FENOSA RENOVABLES,21.25
Couteiro,Lugo,Ourol,Eólicos de Mariña. S.L.,7.80
Cova da Serpe,Lugo,Friol y Guitiriz,Parque eólico Cova da Serpe. S.L.,24.00
Fontesilva,La Coruña,Santa Comba y Coristanco,EÓLICA FONTESILVA. S.L.U.,21.60
Monte arca,Pontevedra,Cuntis y A Estrada,Sistemas Energéticos La Estrada,6.00
Monte rande,La Coruña,Ortigueira,Promotora Eólica de Galicia. S.L.,9.35
Vilachá,Lugo,Ourol y Muras,Sociedad Eólica de Ourol. S.L.,7.80
Alto do Seixal (Farrapa 2ª Fase),Lugo,Abadín. Mondoñedo y A Pastoriza,SISTEMAS ENERGÉTICOS ALTO DO SEIXAL. S.A.U.,30.00
Arteixo,La Coruña,Arteixo,FOMENTO DE LAS ENERGÍAS RENOVABLES 2001. S.A.,2.00
Sil Ampliación (2ª Fase),Ourense,Nogueira de Ramuín,IBERDROLA ENERGÍAS RENOVABLES DE GALICIA. S.A.U.,12.00
Cova da Serpe Ampliación,Lugo,Friol y Guitiriz,Parque eólico Cova da Serpe. S.L.,25.20
Pobra do Caramiñal,La Coruña,Pobra do Caramiñal,Proyectos y Desarrollos Renovables. S.A.,3.00
Porto do Son,La Coruña,Porto do Son,Hidroeléctrica del Freixas. S.L.,3.00
Primer Prototipo experimental NED100 (Villalba),Lugo,Villalba,Norvento Energía Distribuida. S.L.,0.10
Prototipo experimental NED100 con generador comercial (Cervo 1),Lugo,Cervo,Norvento Energía Distribuida. S.L.,0.10
PES Cerceda,La Coruña,Cerceda,FERGO GALICIA VENTO. S.L.,2.55
Prototipo experimental NED100 con generador de diseño propio (Cervo 2),Lugo,Cervo,Norvento Energía Distribuida. S.L.,0.10
Cordal de Montouto,La Coruña,Os Vilares,GAS NATURAL FENOSA RENOVABLES,14.00
Cabo Vilano,La Coruña,Camariñas,Gas Natural SLU,6.00
Fontesilva II,La Coruña,Santa Comba y Coristanco,EÓLICA FONTESILVA. S.L.U.,7.20
Malpica,La Coruña,Malpica de Bergantiños,PARQUE EÓLICO DE MALPICA. S.A. (PEMALSA),16.45
Muxia I,La Coruña,Muxía,EDP Renovables España. S.L.,46.00
Muxia II,La Coruña,Muxía,EDP Renovables España. S.L.,22.00
A Pastoriza,Lugo,A Pastoriza. Mondoñedo y Riotorto,NORVENTO ESTELO S.L.U.,36.00
Cadeira,Lugo,Trabada. Riotorto. A Pontenova y Lourenzá,NORVENTO ESTELO S.L.U.,19.80
Carracedo,Lugo,A Pastoriza y Mondoñedo,NORVENTO ESTELO S.L.U.,9.90
Miñón,La Coruña,Vimiazo,Greenalia. S.A.,24.00
Monciro (fase I y fase II),Lugo,Castroverde y Pol,Naturgy Renovables,41.59
Monte Tourado - Eixe,La Coruña,Vimianzo,Naturgy Wind,39.60
Montes de Abella,Lugo,Láncara,FERGO GALICIA VENTO. S.L.,15.00
Mouriños,La Coruña,Cabana de Bergantiños,Naturgy Wind,9.61
Neda,Lugo,Abadín y A Pastoriza,NORVENTO ESTELO S.L.U.,34.65
Paradela,Lugo,Paradela,Paravento. S.L.,12.00
Pastoriza-Rodeiro,Lugo,A Pastoriza,Naturgy Wind,48.50
Pena Forcada-Catasol II,La Coruña,Laxe,Naturgy Renovables,7.20
Pena Ventosa Reformado,Lugo,Vicedo,ENEL GREEN POWER ESPAÑA S.L.,8.00
Sasdónigas Fase I,Lugo,Mondoñedo,NORVENTO SASDÓNIGAS S.L.,18.00
Sasdónigas Fase II,Lugo,Mondoñedo y Abadín,NORVENTO ESTELO S.L.U.,9.90
Serra das Penas,Lugo,Paradela,ENEL GREEN POWER ESPAÑA S.L.,42.00
Serra do Punago-Vacariza (fase I y fase II),Lugo,Castroverde. Baleira y Baralla,Naturgy Wind,39.60
Zas,La Coruña,Zas / Santa Comba,EDP Renovables España. S.L.,24.00
Alto da Croa,La Coruña,Vimiazo,Greenalia. S.A.,7.30
Alto da Croa II,La Coruña,Vimiazo,Greenalia. S.A.,10.40
Monte Tourado,La Coruña,Vimiazo,Greenalia. S.A.,10.40
Ourol,Lugo,Ourol,Greenalia Wind Power Ourol. S.L.U,22.50
Repotenciación Corme,La Coruña,Ponteceso,EDPR ESPAÑA. SL,18.30
Tarifa II,Cádiz,Tarifa,Alstom-Ecotècnia,0.15
Levantera,Cádiz,Tarifa,AGE GENERACIÓN EÓLICA. S.A.,0.65
Tarifa III,Cádiz,Tarifa,Alstom-Ecotècnia,0.20
La Joya (PEESA),Cádiz,Tarifa,P.E.E.S.A. (PLANTA EÓLICA EUROPEA. S.A.),6.00
Monteahumada I,Cádiz,Tarifa,MADE TECNOLOGÍAS RENOVABLES. S.A.,2.42
Prototipo Ecotécnia (Tarifa),Cádiz,Tarifa,Alstom-Ecotècnia,0.50
Prototipo Ecotècnia Tarifa,Cádiz,Tarifa,Alstom-Ecotècnia,0.60
Enix,Almería,Enix,ENEL GREEN POWER ESPAÑA S.L.,13.20
Tahivilla,Cádiz,Tarifa,DESARROLLOS EÓLICOS DE TARIFA,30.00
El Cabrito / La Locustura (Laese),Cádiz,Tarifa,PROASEGO,1.65
Los Lances,Cádiz,Tarifa,SOCIEDAD EÓLICA LOS LANCES. S.A.,10.68
Los Llanos,Málaga,Casares,EXPLOTACIONES EÓLICAS SIERRA DE UTRERA,19.80
Prototipo DESA Hinojal/Tahivilla,Cádiz,Tarifa,DESARROLLOS EÓLICOS DE TARIFA,0.60
Buenavista,Cádiz,Barbate,DESARROLLOS EÓLICOS DE BUENAVISTA. S.A.,7.80
Los Llanos Ampliación (El Juncal),Málaga,Casares,EXPLOTACIONES EÓLICAS SIERRA DE UTRERA,13.60
Sierra del Trigo (Fase I y II),Jaén,Noalejo,OLIVENTO. S.L.,15.18
Cueva Dorada,Granada,Loja,COMPAÑÍA EÓLICA GRANADINA,16.15
El Granado,Huelva,El Granado,ACCIONA ENERGÍA,14.45
Los Sillones,Granada,Loja,COMPAÑÍA EÓLICA GRANADINA,19.55
Alijar I,Cádiz,Jeréz de la Frontera,Eólico Alijar S.A.,24.00
Cortijo de Iruelas,Cádiz,Tarifa,ACCIONA ENERGÍA,13.60
El Gallego,Cádiz,Tarifa,ACCIONA ENERGÍA,24.00
El Ruedo,Cádiz,Tarifa,ACCIONA ENERGÍA,16.00
La Manga,Cádiz,Tarifa,ACCIONA ENERGÍA,12.00
Las Lomas,Granada,Lanjarón y El Pinar,WINDET EÓLICA ANDALUZA,15.00
Pasada de Tejeda,Cádiz,Tarifa,AEROGENERADORES DEL SUR. S.A.,9.60
Río Almodóvar,Cádiz,Tarifa,ACCIONA ENERGÍA,12.80
Almendarache,Cádiz,Tarifa,WIESA 6,21.00
La Herrería,Cádiz,Tarifa,AEROGENERADORES DEL SUR. S.A.,44.80
Sierra de Aguas,Málaga,Casarabonela y Alora,ARESA,13.60
Tharsis,Huelva,Alosno,Sistemas Energéticos Sierra del Andévalo S.A.U.,4.25
Aviadores,Cádiz,Tarifa,DERROLLOS EÓLICOS ALMARCHAL. S.A.U.,6.00
El Conjuro,Granada,Motril y Gualchos,WINDET EÓLICA ANDALUZA,13.60
El Conjuro,Granada,Motril. Gualchos. Vélez Benaudalla y Lújar,OLIVENTO. S.L.,17.00
El Pino,Cádiz,Los Barrios,Energías Eólicas del Pino. S.L.,24.60
El Sardón,Huelva,El Granado,OLIVENTO. S.L.,25.50
Ignacio Molina,Málaga,Casares,LDV CASARES. S.L.,8.00
La Risa,Cádiz,Tarifa,Desarrollos Eólicos Almarchal. S.A.U.,12.00
Loma de Almendarache,Cádiz,Tarifa,ACCIONA ENERGÍA,12.00
Pedregoso A,Cádiz,Tarifa,EÓLICA EL PEDREGOSO,14.85
Pedregoso B,Cádiz,Tarifa,EÓLICA EL PEDREGOSO,14.85
Pedregoso D,Cádiz,Tarifa,EÓLICA DEL PINO,14.85
Almeriques,Cádiz,Medina Sidonia,Eólica La Janda. S.L.U.,25.72
Bolaños,Cádiz,Jeréz de la Frontera,IBERENOVA PROMOCIONES. S.A.,24.00
Chorreaderos Altos,Cádiz,San José del Valle y Jeréz de la Frontera,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,20.59
Chorreaderos Bajos,Cádiz,Jeréz de la Frontera,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,30.00
Cortijo de Guerra II,Cádiz,Puerto Real,LDV CORTIJO DE GUERRA. S.L.,28.00
Dólar I,Granada,Huenéja y Dólar,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,49.50
Dólar III,Granada,Dólar y Ferreira,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,49.50
Doña Benita Cuellar,Cádiz,Jeréz de la Frontera,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,32.00
El Bancal,Cádiz,Tarifa,RWE Innogy Aersa. S.A.U.,21.00
El Carrascal I,Almería,Serón y Tíjola,OLIVENTO. S.L.,49.50
El Carrascal II,Almería,Serón y Tíjola,OLIVENTO. S.L.,28.00
El Pandero,Cádiz,Tarifa,ACCIONA ENERGÍA,20.00
El Venzo,Cádiz,Medina Sidonia,IBERENOVA PROMOCIONES. S.A.,8.00
Ferreira II,Granada,Ferreira y La Calahorra,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,49.50
Hinojal I,Cádiz,Tarifa,Parque eólico Hinojal. S.L.,13.80
Hinojal II,Cádiz,Tarifa,Parque eólico Hinojal. S.L.,7.40
Huéneja III,Granada,Huenéja,IBERDROLA ENERGÍAS RENOVABLES DE ANDALUCÍA,49.50
La Cerradilla,Almería,Serón y Tíjola,OLIVENTO. S.L.,49.50
La Cerradilla II,Almería,Serón,OLIVENTO. S.L.,22.00
La Torre I,Cádiz,Tarifa,ACCIONA ENERGÍA,16.00
La Valdivia,Sevilla,Osuna,Valdivia Energía Eólica S.A.,28.50
Las Monjas,Cádiz,Medina Sidonia,Eólica La Janda. S.L.U.,26.00
Las Perdices,Almería,Nacimiento,INGENIERÍA VARGAS. S.L.,0.85
Los Alburejos,Cádiz,Medina Sidonia,IBERENOVA PROMOCIONES. S.A.,10.00
Los Isletes,Cádiz,Jeréz de la Frontera,IBERENOVA PROMOCIONES. S.A.,9.94
Los Morrones,Granada,Baza y Zújar,ACCIONA ENERGÍA,30.00
Los Siglos,Cádiz,Tarifa,RWE Innogy Aersa. S.A.U.,18.00
Rancho Viejo,Cádiz,Medina Sidonia,Eólica La Janda. S.L.U.,14.40
Tacica de Plata,Almería,Abla y Las Tres Villas,Sistemas Energéticos Tacica de Plata,26.00
Zarzuela II,Cádiz,Tarifa,Parque eólico Hinojal. S.L.,14.80
Zorreras,Cádiz,Medina Sidonia,IBERDROLA RENOVABLES ANDALUCÍA,32.00
Zorreras (las),Cádiz,Tarifa,PROASEGO,21.50
Altamira,Málaga,Ardales,GAMESA ENERGÍA,49.30
Cerro de la Higuera,Málaga,Ardales y Teba,Sistemas Energéticos de la Higuera,44.00
Cerro Durán,Sevilla,Los Corrales. El Saucejo y Almargen,Eólica Guadalteba. S.L.U.,45.00
Cortijo de Guerra I,Cádiz,Puerto Real,Parque eólico Puerto Real. S.L.,40.80
Cortijo La Linera,Málaga,Campillos y Teba,Sistemas Energéticos de la Linera,28.00
El Colmenar II,Almería,Abrucena y Fiñana,AL ANDALUS WIND POWER,28.00
La Cuesta,Málaga,Campillos,Eólica Guadalteba. S.L.U.,27.20
La Escalereta,Málaga,Cañete la Real,Eólica Guadalteba. S.L.U.,5.80
La Nava,Málaga,Cañete la Real,Eólica Guadalteba. S.L.U.,27.20
La Tahuna,Cádiz,Tarifa,PROASEGO,21.50
